flow,batch_idx,cfg,height,image_path_lora,image_path_no,loras,prompt_idx,prompt_text,sampler,scheduler,seed,steps,width,expected_text,clip_similarity_no,clip_similarity_lora,clip_delta,ocr_text_no,ocr_text_lora,ocr_score_no,ocr_score_lora,ocr_delta,ocr_missing_no,ocr_missing_lora
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st15_1_no_0.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6142,0.6489,0.0347,,"cere!”
(\",,-1.0000,,1,0
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st15_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st15_1_no_1.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.5999,0.6364,0.0364,,,,,,1,1
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st15_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st15_1_no_2.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6150,0.6112,-0.0038,,,,,,1,1
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st15_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st15_1_no_3.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6174,0.6445,0.0271,"|
a",TEX TFLU X,0.0000,0.0000,0.0000,0,0
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st20_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st20_1_no_0.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6130,0.6323,0.0193,,,,,,1,1
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st20_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st20_1_no_1.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6092,0.6261,0.0169,,ON,,0.0000,,1,0
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st20_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st20_1_no_2.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6110,0.6115,0.0006,,,,,,1,1
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st20_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st20_1_no_3.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6057,0.6189,0.0132,,TEX TFLUX,,0.0000,,1,0
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st25_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st25_1_no_0.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6101,0.6415,0.0314,,,,,,1,1
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st25_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st25_1_no_1.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6044,0.6412,0.0368,,,,,,1,1
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st25_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st25_1_no_2.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6078,0.6241,0.0162,,,,,,1,1
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st25_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg4_st25_1_no_3.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6107,0.6453,0.0347,,TEX T FLUJX,,-0.2500,,1,0
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st15_1_no_0.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6050,0.6621,0.0572,,,,,,1,1
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st15_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st15_1_no_1.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6190,0.6458,0.0269,,,,,,1,1
text2img,2,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st15_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st15_1_no_2.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6122,0.6071,-0.0052,,,,,,1,1
text2img,3,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st15_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st15_1_no_3.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6066,0.6402,0.0336,,"=,
DD
TTEXTT FLUX

)",,-1.7500,,1,0
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st20_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st20_1_no_0.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6086,0.6544,0.0457,,text flux,,0.0000,,1,0
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st20_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st20_1_no_1.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6096,0.6312,0.0216,,,,,,1,1
text2img,2,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st20_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st20_1_no_2.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6294,0.6172,-0.0122,,,,,,1,1
text2img,3,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st20_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st20_1_no_3.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,20,1024,FLUX,0.6124,0.6439,0.0315,,,,,,1,1
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st25_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st25_1_no_0.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6096,0.6380,0.0283,,"text f"" ux",,-0.2500,,1,0
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st25_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st25_1_no_1.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6000,0.6596,0.0596,,,,,,1,1
text2img,2,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st25_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st25_1_no_2.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6198,0.6206,0.0008,,,,,,1,1
text2img,3,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st25_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg5_st25_1_no_3.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,25,1024,FLUX,0.6106,0.6366,0.0260,,,,,,1,1
text2img,0,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg6_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic3/singles/p1_cfg6_st15_1_no_0.png,wordmark:1.0;cartoon:1.0,1,"text FLUX, bold sans‑serif letters, solid single color",dpmpp_2m_sde,karras,100,15,1024,FLUX,0.6015,0.6374,0.0359,,TEXTI LUX,,-0.2500,,1,0
