flow,batch_idx,cfg,height,image_path_lora,image_path_no,loras,prompt_idx,prompt_text,sampler,scheduler,seed,steps,width
text2img,3,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p22_cfg5_st15_22_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p22_cfg5_st15_22_no_3.png,wordmark:1.0;minimalistic:1.0,22,"text WAVE vintage serif with ornamental swashes, cream on burgundy",dpmpp_2m_sde,karras,100,15,1024
text2img,3,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p21_cfg6_st25_21_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p21_cfg6_st25_21_no_3.png,wordmark:1.0;minimalistic:1.0,21,"text SPIRE monospaced terminal font, green phosphor on black",dpmpp_2m_sde,karras,100,25,1024
text2img,2,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p25_cfg5_st25_25_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p25_cfg5_st25_25_no_2.png,wordmark:1.0;minimalistic:1.0,25,"text MOTION distressed rough texture, grunge rock feel",dpmpp_2m_sde,karras,100,25,1024
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p21_cfg5_st15_21_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p21_cfg5_st15_21_no_0.png,wordmark:1.0;minimalistic:1.0,21,"text SPIRE monospaced terminal font, green phosphor on black",dpmpp_2m_sde,karras,100,15,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p28_cfg6_st15_28_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p28_cfg6_st15_28_no_2.png,wordmark:1.0;minimalistic:1.0,28,"text SPARK minimal underline accent, dark charcoal letters",dpmpp_2m_sde,karras,100,15,1024
text2img,1,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p3_cfg6_st20_3_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p3_cfg6_st20_3_no_1.png,wordmark:1.0;minimalistic:1.0,3,"text NOVA intertwined into infinity symbol, metallic silver finish, subtle gradient",dpmpp_2m_sde,karras,100,20,1024
text2img,3,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p26_cfg5_st20_26_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p26_cfg5_st20_26_no_3.png,wordmark:1.0;minimalistic:1.0,26,"text LYRIC high‑contrast didone serif, fashion magazine vibe",dpmpp_2m_sde,karras,100,20,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p14_cfg6_st25_14_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p14_cfg6_st25_14_no_2.png,wordmark:1.0;minimalistic:1.0,14,"text QUARTZ 3‑D extruded block letters, warm orange lighting",dpmpp_2m_sde,karras,100,25,1024
text2img,3,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p21_cfg6_st20_21_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p21_cfg6_st20_21_no_3.png,wordmark:1.0;minimalistic:1.0,21,"text SPIRE monospaced terminal font, green phosphor on black",dpmpp_2m_sde,karras,100,20,1024
text2img,2,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p26_cfg5_st15_26_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p26_cfg5_st15_26_no_2.png,wordmark:1.0;minimalistic:1.0,26,"text LYRIC high‑contrast didone serif, fashion magazine vibe",dpmpp_2m_sde,karras,100,15,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p26_cfg6_st15_26_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p26_cfg6_st15_26_no_2.png,wordmark:1.0;minimalistic:1.0,26,"text LYRIC high‑contrast didone serif, fashion magazine vibe",dpmpp_2m_sde,karras,100,15,1024
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p2_cfg4_st15_2_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p2_cfg4_st15_2_no_0.png,wordmark:1.0;minimalistic:1.0,2,"text AURORA, ultra‑thin spacing, luxurious minimal look",dpmpp_2m_sde,karras,100,15,1024
text2img,0,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p30_cfg6_st20_30_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p30_cfg6_st20_30_no_0.png,wordmark:1.0;minimalistic:1.0,30,"text GLIDE casual handwritten marker style, sky‑blue ink",dpmpp_2m_sde,karras,100,20,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p20_cfg6_st25_20_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p20_cfg6_st25_20_no_2.png,wordmark:1.0;minimalistic:1.0,20,"text ELEVATE with leaf silhouette integrated into first letter, eco friendly",dpmpp_2m_sde,karras,100,25,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p7_cfg6_st20_7_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p7_cfg6_st20_7_no_2.png,wordmark:1.0;minimalistic:1.0,7,"text ECHO cut‑out negative space inside circular badge, monochrome",dpmpp_2m_sde,karras,100,20,1024
text2img,1,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p11_cfg6_st15_11_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p11_cfg6_st15_11_no_1.png,wordmark:1.0;minimalistic:1.0,11,"text SOLIS italicized clean sans serif, soft drop shadow",dpmpp_2m_sde,karras,100,15,1024
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p21_cfg5_st15_21_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p21_cfg5_st15_21_no_1.png,wordmark:1.0;minimalistic:1.0,21,"text SPIRE monospaced terminal font, green phosphor on black",dpmpp_2m_sde,karras,100,15,1024
text2img,3,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p29_cfg6_st25_29_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p29_cfg6_st25_29_no_3.png,wordmark:1.0;minimalistic:1.0,29,text SYNTH bold block letters with subtle bevel emboss,dpmpp_2m_sde,karras,100,25,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p16_cfg6_st15_16_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p16_cfg6_st15_16_no_2.png,wordmark:1.0;minimalistic:1.0,16,"text PRISM geometric modular letterforms, Bauhaus inspiration",dpmpp_2m_sde,karras,100,15,1024
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p27_cfg5_st20_27_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p27_cfg5_st20_27_no_0.png,wordmark:1.0;minimalistic:1.0,27,"text RADIUS halftone dotted fill, pop art influence",dpmpp_2m_sde,karras,100,20,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p25_cfg6_st20_25_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p25_cfg6_st20_25_no_2.png,wordmark:1.0;minimalistic:1.0,25,"text MOTION distressed rough texture, grunge rock feel",dpmpp_2m_sde,karras,100,20,1024
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p5_cfg5_st20_5_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p5_cfg5_st20_5_no_1.png,wordmark:1.0;minimalistic:1.0,5,"text ZEN stacked vertically with tight leading, brutalist style, black on neon green",dpmpp_2m_sde,karras,100,20,1024
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p26_cfg5_st20_26_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p26_cfg5_st20_26_no_0.png,wordmark:1.0;minimalistic:1.0,26,"text LYRIC high‑contrast didone serif, fashion magazine vibe",dpmpp_2m_sde,karras,100,20,1024
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p3_cfg4_st20_3_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p3_cfg4_st20_3_no_0.png,wordmark:1.0;minimalistic:1.0,3,"text NOVA intertwined into infinity symbol, metallic silver finish, subtle gradient",dpmpp_2m_sde,karras,100,20,1024
text2img,3,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p15_cfg6_st20_15_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p15_cfg6_st20_15_no_3.png,wordmark:1.0;minimalistic:1.0,15,"text VECTOR only outlined letters, transparent interior fill",dpmpp_2m_sde,karras,100,20,1024
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p12_cfg5_st20_12_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p12_cfg5_st20_12_no_1.png,wordmark:1.0;minimalistic:1.0,12,"text EMBER stencil typography, military utilitarian tone",dpmpp_2m_sde,karras,100,20,1024
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p15_cfg5_st15_15_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p15_cfg5_st15_15_no_0.png,wordmark:1.0;minimalistic:1.0,15,"text VECTOR only outlined letters, transparent interior fill",dpmpp_2m_sde,karras,100,15,1024
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p8_cfg5_st25_8_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/test1_wordmark_minimalistic1/singles/p8_cfg5_st25_8_no_1.png,wordmark:1.0;minimalistic:1.0,8,"text VORTEX gradient chrome effect, 80s retro aesthetic",dpmpp_2m_sde,karras,100,25,1024
