flow,batch_idx,cfg,height,image_path_lora,image_path_no,loras,prompt_idx,prompt_text,sampler,scheduler,seed,steps,width
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st25_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st25_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st20_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st20_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024
text2img,2,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st15_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st15_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,2,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st25_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st25_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,2,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st20_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st20_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st25_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st25_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st20_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st20_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024
text2img,1,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st20_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st20_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st15_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st15_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,3,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st15_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st15_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,0,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st15_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,2,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st15_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st15_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,1,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st25_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st25_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,3,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st20_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st20_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024
text2img,3,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st25_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st25_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,3,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st20_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st20_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st15_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,0,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st15_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st15_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,3,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st15_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st15_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st15_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st15_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,2,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st25_1_lora_2.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st25_1_no_2.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,1,6.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st15_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg6_st15_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,15,1024
text2img,3,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st25_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st25_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,3,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st25_1_lora_3.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st25_1_no_3.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,1,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st25_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st25_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,25,1024
text2img,0,4.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st20_1_lora_0.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg4_st20_1_no_0.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024
text2img,1,5.0,1024,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st20_1_lora_1.png,/home/henrique/Projects/tcc/result-gathering/output/fix_text1_wordmark_p1_cfg4_st16_0_lora_0/singles/p1_cfg5_st20_1_no_1.png,wordmark:1.0,1,"text (""AURORA"":1.5)",dpmpp_2m_sde,karras,100,20,1024
